"RCD","Molecule","Name","PubChem_CID","PMID","Remark","Latest_update","Data_source"
"Ferroptosis","Ruxo","ruxolitinib","25126798",33991524,"_NA_",2022-02-24,"FerrDb team"
"Ferroptosis","Melatonin","Melatonin","896",34883251,"_NA_",2022-02-24,"FerrDb team"
"Ferroptosis","ADC","Ajudecunoid C","_NA_",34303035,"A compound isolated from A. nipponensis.",2022-02-24,"FerrDb team"
"Ferroptosis","DMF","Dimethyl fumarate","637568",33931960,"_NA_",2022-02-24,"FerrDb team"
"Ferroptosis","Sev","Sevoflurane","5206",33774026,"_NA_",2022-03-02,"FerrDb team"
"Ferroptosis","Polydatin","Polydatin","5281718",33839410,"_NA_",2022-03-02,"FerrDb team"
"Ferroptosis","D‐mannose","D‐mannose","18950",34561933,"_NA_",2022-03-02,"FerrDb team"
"Ferroptosis","NMN","Nicotinamide mononucleotide","4661174",34626772,"_NA_",2022-03-02,"FerrDb team"
"Ferroptosis","Cd","Cadmium","23973",34051661,"Long-term exposure to Cd inhibits ferroptosis; Induces ferroptosis in other article.",2022-03-03,"FerrDb team"
"Ferroptosis","1,25(OH)2D3","Calcitriol","5280453",34768761,"_NA_",2022-03-07,"FerrDb team"
"Ferroptosis","Atorvastatin","Atorvastatin","60823",34438345,"_NA_",2022-03-08,"FerrDb team"
"Ferroptosis","α-Toc","α-tocopherol","14985",34267193,"A vitamin E analog",2022-03-08,"FerrDb team"
"Ferroptosis","Se","Selenium","6326970",34413521,"_NA_",2022-03-08,"FerrDb team"
"Ferroptosis","αT","α-tocopherol","14985",34172811,"A vitamin E analog",2022-03-09,"FerrDb team"
"Ferroptosis","Wed","Wedelolactone","5281813",34246777,"_NA_",2022-03-09,"FerrDb team"
"Ferroptosis","Res","Resveratrol","445154",34530090,"_NA_",2022-03-09,"FerrDb team"
"Ferroptosis","AS-IV","Astragaloside IV","13943297",33656642,"_NA_",2022-03-09,"FerrDb team"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",34388454,"_NA_",2022-03-09,"FerrDb team"
"Ferroptosis","Otssp167","Otssp167","135398499",34144192,"_NA_",2022-03-15,"FerrDb team"
"Ferroptosis","C3G","Cyanidin-3-glucoside","12303220",33628391,"_NA_",2022-03-15,"FerrDb team"
"Ferroptosis","ADA-409-052","ADA-409-052","_NA_",33568697,"A condensed benzo[b]thiazine derivative small molecule with an arylthiazine backbone.",2022-03-16,"FerrDb team"
"Ferroptosis","NaHS","Sodium hydrosulfide","28015",33945828,"_NA_",2022-03-16,"FerrDb team"
"Ferroptosis","GB","ginkgolide-B","6324617",34332327,"_NA_",2022-03-20,"FerrDb team"
"Ferroptosis","GIF-2114","GIF-2114","_NA_",34407426,"N, N-dimethylaniline derivative.",2022-03-21,"FerrDb team"
"Ferroptosis","GIF-2197-r","GIF-2197-r","_NA_",34407426,"N, N-dimethylaniline derivative.",2022-03-21,"FerrDb team"
"Ferroptosis","CY","Carthamin yellow","_NA_",33576458,"A flavonoid compound.",2022-03-21,"FerrDb team"
"Ferroptosis","Ponatinib","Ponatinib","24826799",33675785,"_NA_",2022-03-21,"FerrDb team"
"Ferroptosis","Deferoxamine","Deferoxamine","2973",33675785,"_NA_",2022-03-21,"FerrDb team"
"Ferroptosis","Se","Selenium","6326970",34116104,"_NA_",2022-03-21,"FerrDb team"
"Ferroptosis","Melatonin","Melatonin","896",34364124,"_NA_",2022-03-21,"FerrDb team"
"Ferroptosis","DA","dehydroabietic acid","94391",33590347,"_NA_",2022-03-21,"FerrDb team"
"Ferroptosis","GAA","Gossypol acetic acid","_NA_",34827665,"A natural product taken from the seeds of cotton plants.",2022-03-21,"FerrDb team"
"Ferroptosis","DATS","diallyl trisulfide","16315",33168263,"Not 100% inhibitory to ferroptosis.",2022-03-21,"FerrDb team"
"Ferroptosis","DMTS","dimethyl trisulfide","19310",33168263,"Not 100% inhibitory to ferroptosis.",2022-03-21,"FerrDb team"
"Ferroptosis","PAN","Paeonol","11092",33906483,"_NA_",2022-03-21,"FerrDb team"
"Ferroptosis","EMPA","Empagliflozin","11949646",34301253,"_NA_",2022-03-21,"FerrDb team"
"Ferroptosis","GS-4997","Selonsertib","71245288",33858114,"Apoptosis signal-regulating kinase 1 inhibitor.",2022-03-22,"FerrDb team"
"Ferroptosis","S3QEL","site IIIQo electron leak","_NA_",33493440,"A specific suppressor of superoxide production from complex III.",2022-03-30,"FerrDb team"
"Ferroptosis","TSA","Tanshinone IIA","164676",34454174,"_NA_",2022-03-30,"FerrDb team"
"Ferroptosis","CAT","capsiate","9839519",33779497,"_NA_",2022-03-31,"FerrDb team"
"Ferroptosis","Dex","Dexmedetomidine","5311068",34916824,"_NA_",2022-04-06,"FerrDb team"
"Ferroptosis","Gap27","H-Ser-Arg-Pro-Thr-Glu-Lys-Thr-Ile-Phe-Ile-Ile-OH","9920128",34785303,"_NA_",2022-04-06,"FerrDb team"
"Ferroptosis","DXZ","Dexrazoxane","71384",34336950,"_NA_",2022-04-07,"FerrDb team"
"Ferroptosis","LXA4","Lipoxin A4","5280914",34048148,"_NA_",2022-04-07,"FerrDb team"
"Ferroptosis","Lip-1","Liproxstatin-1","135735917",32985488,"_NA_",2022-04-07,"FerrDb team"
"Ferroptosis","VBIT-12","N-[[1-(1-naphthalenylmethyl)-4-(phenylamino)-4-piperidinyl]carbonyl]-glycine","134347604",34401974,"_NA_",2022-04-07,"FerrDb team"
"Ferroptosis","Baicalin","Baicalin","64982",33815110,"_NA_",2022-04-07,"FerrDb team"
"Ferroptosis","Baicalin","Baicalin","64982",34704542,"_NA_",2022-04-07,"FerrDb team"
"Ferroptosis","UTI","Ulinastatin","105102",34306342,"_NA_",2022-04-08,"FerrDb team"
"Ferroptosis","N2L","N2L","_NA_",34171402,"A niacin-lipoic acid dimer derivative.",2022-04-08,"FerrDb team"
"Ferroptosis","NAR","Naringenin","932",34699317,"_NA_",2022-04-10,"FerrDb team"
"Ferroptosis","ICA","Icariin","5318997",34407320,"_NA_",2022-04-10,"FerrDb team"
"Ferroptosis","RSV","Resveratrol","445154",34813903,"_NA_",2022-04-10,"FerrDb team"
"Ferroptosis","MCTR1","Maresin conjugates in tissue regeneration 1","122368871",34961563,"_NA_",2022-04-11,"FerrDb team"
"Ferroptosis","Melatonin","Melatonin","896",34335271,"_NA_",2022-04-12,"FerrDb team"
"Ferroptosis","ISL","isoliquiritigenin","638278",34791966,"_NA_",2022-04-12,"FerrDb team"
"Ferroptosis","FA","Ferulic acid","445858",34935700,"_NA_",2022-04-12,"FerrDb team"
"Ferroptosis","Curcumin","Curcumin","969516",34787501,"_NA_",2022-04-12,"FerrDb team"
"Ferroptosis","vitamin E","vitamin E","14985",34779994,"_NA_",2022-04-12,"FerrDb team"
"Ferroptosis","Pue","Puerarin","5281807",34422728,"_NA_",2022-04-12,"FerrDb team"
"Ferroptosis","Met","Metformin","4091",33513420,"_NA_",2022-04-12,"FerrDb team"
"Ferroptosis","TXL","Tongxinluo","_NA_",34740097,"A traditional and multifunctional Chinese medicine.",2022-04-12,"FerrDb team"
"Ferroptosis","DMF","Dimethyl fumarate","637568",34153667,"_NA_",2022-04-12,"FerrDb team"
"Ferroptosis","Dau","Dauricine","73400",34469757,"_NA_",2022-04-17,"FerrDb team"
"Ferroptosis","Lip-1","Liproxstatin-1","135735917",34511597,"_NA_",2022-04-17,"FerrDb team"
"Ferroptosis","necrostatin-1","necrostatin-1","2828334",34572979,"_NA_",2022-04-17,"FerrDb team"
"Ferroptosis","Geraniin","Geraniin","3001497",33590718,"An ellagitannin bearing hexahydroxydiphenoyl (HHDP) and dehydrohexahydroxydiphenoyl (DHHDP) groups.",2022-04-17,"FerrDb team"
"Ferroptosis","Fluvastatin","Fluvastatin","446155",34594412,"_NA_",2022-04-17,"FerrDb team"
"Ferroptosis","UAMC-3203","4-(cyclohexylamino)-3-[(phenylmethyl)amino]-N-[2-(1-piperazinyl)ethyl]-benzenesulfonamide","137701965",34618729,"_NA_",2022-04-17,"FerrDb team"
"Ferroptosis","DFO","Deferoxamine","2973",34618729,"_NA_",2022-04-17,"FerrDb team"
"Ferroptosis","STM","Stigmasterol","5280794",34806937,"_NA_",2022-04-18,"FerrDb team"
"Ferroptosis","ETO","Etomidate","667484",34091586,"_NA_",2022-04-18,"FerrDb team"
"Ferroptosis","Fra","Fraxetin","5273569",34650699,"_NA_",2022-04-18,"FerrDb team"
"Ferroptosis","Se","Selenium","6326970",34745435,"_NA_",2022-04-18,"FerrDb team"
"Ferroptosis","CTLD","Compound Tongluo Decoction","_NA_",34536518,"_NA_",2022-04-18,"FerrDb team"
"Ferroptosis","Klotho","Klotho","_NA_",34592245,"A substance but not a compound.",2022-04-18,"FerrDb team"
"Ferroptosis","Tectorigenin","Tectorigenin","5281811",34964161,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","APS","Astragalus polysaccharide","2782115",34562468,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","Vitamin B6","Pyridoxine","1054",35002705,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",34787054,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","Olanzapine","Olanzapine","135398745",34562639,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","Baicalin","Baicalin","64982",33935719,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",34952157,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","EGCG","(-)-Epigallocatechin-3-gallate","65064",34775319,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","LIRA","liraglutide","16134956",34480710,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","N-acetylcysteine","N-acetylcysteine","12035",34850077,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","H2S","Hydrogen sulfide","402",34952420,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","Zinc","Zinc","23994",33951302,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","Thioctic acid","Thioctic acid","864",34630132,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","HSYA","Hydroxysafflor yellow A","6443665",34923102,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","AHSYB","anhydrosafflor yellow B","102240413",34923102,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","Dihydroquercetin","Taxifolin","439533",34942457,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","Cysteine","Cysteine","5862",34917232,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","AS-IV","Astragaloside IV","13943297",34760046,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","NO","Nitric oxide","145068",34329739,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","Tangeretin","Tangeretin","68077",34570416,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","Cystine","Cystine","67678",34679678,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","Methionine","Methionine","6137",34679678,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","TSG","Tetrahydroxy stilbene glycoside","_NA_",34333354,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","TBHQ","tert-Butylhydroquinone","16043",34794379,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","Fucoidan","Fucoidan","129532628",34677456,"_NA_",2022-05-07,"FerrDb team"
"Ferroptosis","moracin N","moracin N","641376",34281775,"Isolated and identified from mulberry leaf.",2022-05-11,"FerrDb team"
"Ferroptosis","Chrysophanol","Chrysophanol","10208",34572468,"Chrysophanol is a component of Rheum officinale Baill, a traditional Chinese medicine that has been clinically used to treat renal disease.",2022-05-11,"FerrDb team"
"Ferroptosis","HC","Histochrome","_NA_",34679760,"_NA_",2022-05-11,"FerrDb team"
"Ferroptosis","CoQ10","Coenzyme Q10","5281915",34200321,"_NA_",2022-05-11,"FerrDb team"
"Ferroptosis","Ze 450","Ze 450","_NA_",34573064,"Cimicifuga racemosa extract.",2022-05-15,"FerrDb team"
"Ferroptosis","Baicalein","Baicalein","5281605",34207230,"_NA_",2022-05-15,"FerrDb team"
"Ferroptosis","Ses","Sesamin","72307",34825691,"_NA_",2022-05-16,"FerrDb team"
"Ferroptosis","I3P","Indole-3-pyruvic","803",33646117,"_NA_",2022-05-16,"FerrDb team"
"Ferroptosis","Loganin","Loganin","87691",33572597,"_NA_",2022-05-16,"FerrDb team"
"Ferroptosis","Lyc","Lycopene","446925",33615188,"_NA_",2022-05-16,"FerrDb team"
"Ferroptosis","YA","Tyrosine-Alanine","4078684",34822485,"_NA_",2022-05-24,"FerrDb team"
"Ferroptosis","Rosi","Rosiglitazone","77999",35180475,"_NA_",2022-09-03,"FerrDb team"
"Ferroptosis","BRD4770","Methyl 2-benzamido-1-(3-phenylpropyl)-1H-benzo[d]imidazole-5-carboxylate","72193870",35149187,"_NA_",2022-09-03,"FerrDb team"
"Ferroptosis","PGE2","Prostaglandin E2","5280360",35013936,"_NA_",2022-09-03,"FerrDb team"
"Ferroptosis","CEP","Cepharanthine","10206",35186185,"_NA_",2022-09-21,"FerrDb team"
"Ferroptosis","Mel","Melatonin","896",35093381,"_NA_",2022-09-21,"FerrDb team"
"Ferroptosis","FA","Farrerol","91144",35582962,"_NA_",2022-09-29,"FerrDb team"
"Ferroptosis","Liraglutide","Liraglutide","16134956",35311455,"_NA_",2022-09-27,"FerrDb team"
