RCD,Effect,Exp_organism,Confidence,PMID,Remark,Latest_update,Data_source
Ferroptosis,Ferroptosis :-: Pro-b-cell lymphomas,Mice,,26943586,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,,27015352,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Pancreatic ductal adenocarcinoma ,Human,,27037021,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,,27184800,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Parkinson's disease,Human,,27189756,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Acute myeloid leukemia,Human,,27308510,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney injury,Mice,,27352622,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Pancreatic cancer,Human,,27375275,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Breast cancer,Human,,27441659,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Head and neck cancer,Human,,27477897,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Head and neck carcinoma,Human,,27477901,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Glioma,Rat,,27612422,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Bone marrow injury,Mice,,27773819,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Breast cancer,Human,,27842070,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Head and neck cancer,_NA_,,28012440,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Hemochromatosis,Mice,,28195347,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Non-small-cell lung cancer,Human,,28297659,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Ovarian cancer,Human,,28319068,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Melanoma,Human,,28358377,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney failure,"Human, mice",,28551825,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Gliomas,Human,,28553953,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Acute lymphoblastic leukemia,_NA_,,28595877,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,,28756230,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Glioblastomas,Human,,28805788,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Colorectal cancer,Human,,28813679,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Breast cancer,Human,,28827805,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Ischemic stroke,"Mice, rat",,28886009,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,"Human, rat",,28893626,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Lung cancer,Human,,28900510,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Asthma,Human,,29053969,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney injury,Human,,29053969,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Traumatic brain injury,Rat,,29053969,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Lung adenocarcinomas,Human,,29168506,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Squamous cell lung cancer,Human,,29212036,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Melanoma,Human,,29348676,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Breast cancer,Human,,29383104,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Heart failure,Rat,,29427658,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Large b-cell lymphoma,Human,,29463878,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Breast cancer,Human,,29588351,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Lung cancer,Human,,29588351,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Melanoma,Human,,29657129,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Glioma,Human,,29702192,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Clear cell renal cell carcinoma,Human,,29872221,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Head and neck cancer,Human,,29928961,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Neuroblastoma,Human,,29939160,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Melanoma,Human,,30035324,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Secondary brain injury,Rat,,30205109,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,,30258181,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Brain injury,Mice,,30264934,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Multiple sclerosis,Human,,30289974,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Hemorrhagic stroke,Mice,,30294906,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Liver fibrosis,Mice,,30321484,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Spinal cord injury,Rat,,30352209,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Colorectal cancer,Mice,,30460115,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Traumatic brain injury,Human,,30531185,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Spinal cord injury,Rat,,30539824,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Colorectal cancer,Human,,30524291,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Liver fibrosis,Mice,,30551460,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Acute myeloid leukemia,Human,,30557609,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Friedreich's ataxia,Human,,30635474,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Alzheimer's disease,Human,,30684867,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Cardiomyopathy,Mice,,30692261,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Intestinal ischemia/reperfusion injury,Mice,,30737476,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Lung cancer,Human,,30787392,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Temporal lobe epilepsy,Rat,,30899387,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Stroke,Mice,,31056284,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Alcoholic steatohepatitis,Mice,,31061954,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Liver cancer,Human,,31108460,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Radiation-induced lung fibrosis,Mice,,31160885,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Heart failure,Rat,,31196626,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Alcoholic liver,Mice,,31224575,"10.1093/cdn/nzz031.P06-056-19, pmid not accessible",12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Acute myeloid leukemia,Human,,31301767,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Chronic obstructive pulmonary disease,"Human, mice",,31316058,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Liver injury,Mice,,31323261,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Mesothelioma,Mice,,31341276,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Epilepsy,Mice,,31379480,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Breast cancer,Mice,,31409375,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney injury,Mice,,31437128,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Intracerebral hemorrhage,"Human, mice",,31442590,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Malignant mesothelioma,"Human, rat",,31442913,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Parkinson's disease,Rat,,31467572,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Radiation-induced lung injury,Mice,,31493867,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Non-small-cell lung cancer,"Human, mice",,31541463,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Nonalcoholic steatohepatitis,Mice,,31610178,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Adrenocortical carcinoma,Human,,31611400,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Oleic acid-induced acute lung injury,Mice,,31646322,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Morphine tolerance,Mice,,31682397,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Myocardial infarction,Mice,,31685805,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Renal ischemia/reperfusion injury,Mice,,31694915,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Esophageal squamous cell carcinoma,"Human, mice",,31701262,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Pancreatic dysfunction,Mice,,31735470,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Myocardial infarction,Mice,,31740582,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney injury,Mice,,31767624,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Liver injury,Mice,,31767624,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Glioma,Human,,31789401,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Diabetes myocardial ischemia/reperfusion injury,Rat,,31809190,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Con a-induced hepatitis,"Human, mice",,31877357,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Pancreatic cancer,Mice,,31894321,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Preeclampsia,Rat,,31926626,,04/28/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Osteoarthritis,"Human, mice",,33376672,,05/10/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Photoreceptor degeneration,Mice,,33334878,,06/19/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Spinal cord injury,Mice,,33333051,,07/14/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Early brain injury,Rat,,33314758,,07/16/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Epileptic seizures,Mice,,33362556,,07/16/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Small cell lung cancer,Human,,33365082,,07/28/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Breast cancer,"Human, mice",,33229547,,08/02/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney injury,Mice,,33068011,,08/04/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Breast cancer,Human,,33294119,,08/06/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Esophageal squamous cell carcinoma,"Human, mice",,33210267,,08/06/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Colorectal cancer,Human,,33203867,,08/06/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Amyotrophic lateral sclerosis,Human,,33312375,,08/09/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Prostate cancer,Human,,33197601,,08/09/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Intervertebral disc degeneration,"Human, mice",,33166496,,08/11/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Friedreich's ataxia,Mice,,33197769,,08/18/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Ischemia/reperfusion injury,Rat,,33157209,,08/21/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Diabetic nephropathy,"Human, mice",,33152439,,08/21/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Cerebral ischemia-reperfusion injury,Gerbils,,33127512,,08/21/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Sunitinib-resistant renal cell carcinoma,Human,,33121039,,08/23/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Clear cell renal cell carcinoma,Human,,33643820,,09/03/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Kidney injury,Mice,,32979361,,09/06/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Diabetic nephropathy,Mice,,32976829,,09/06/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Liver injury,Mice,,32951003,,09/10/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Intestinal ischemia/reperfusion-induced acute lung injury,Mice,,33014271,,09/10/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Liver fibrosis,Human,,32947011,,09/13/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Intervertebral disc degeneration,"Human, rat",,32892384,,09/17/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney failure,Mice,,32861798,,10/08/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney failure,Mice,,32846217,,10/11/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Colorectal cancer,Human,,32776663,,10/11/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Allergic airway inflammation,Mice,,32759385,,10/29/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Atherosclerosis,Mice,,32768568,,10/26/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Triple-negative breast cancer,Human,,32937365,,10/26/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Gastric cancer,"Human, mice",,32726752,,11/04/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Obesity-induced liver and renal injury,Mice,,32922599,,11/04/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney injury,Mice,,33364059,,11/05/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,"Human, mice",,32699265,,11/09/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Triple-negative breast cancer,Human,,32696316,,11/09/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Hypoxic-ischemic brain damage,Rat,,32679060,,11/11/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Prostate cancer,Human,,32686647,,11/12/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Uterine serous carcinoma,Human,,32782585,,11/16/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Myocardial injury,Rat,,32621060,,11/16/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Colorectal cancer,Human,,32621966,,11/17/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute lung injury,Mice,,32601262,,11/17/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney injury,Mice,,32583428,,11/18/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Nonalcoholic steatohepatitis,Rat,,32593899,,11/18/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Hypertensive brain damage,Rat,,32564622,,11/19/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Prostate cancer,Human,,32577235,,11/21/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,,32541921,,11/21/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Myocardial injury,Human,,32535745,,11/21/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Ulcerative colitis,Mice,,32540488,,11/21/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Acute myeloid leukemia,Human,,32534056,,11/25/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,,32531676,,11/25/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Spinal cord injury,Rat,,33335755,,11/30/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Spinal cord injury,Mice,,32474063,,11/30/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Pulmonary fibrosis,"Human, rat",,32453709,,12/01/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Parkinson's disease,Human,,32424108,,12/01/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Alcoholic liver disease,Human,,32419644,,12/01/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,,32416440,,12/01/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Oligospermia,Mice,,32416107,,12/01/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney injury,"Human, mice",,32404875,,12/02/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Doxorubicin-induced cardiomyopathy,Mice,,32376803,,12/02/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Myocardial cellular injury,Mice,,32377745,_NA_,12/07/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Cardiomyopathy,Mice,,32349646,_NA_,12/09/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Extrahepatic cholangiocarcinoma,Human,,32891325,_NA_,12/09/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Early brain injury,Rat,,32314126,Early brain injury (EBI) plays a key role in the poor prognoses of SAH (Subarachnoid hemorrhage).,12/09/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Parkinson’s disease,Human,,32276028,_NA_,12/09/2021,FerrDb team
Ferroptosis,Ferroptosis :-: Colorectal cancer,Human,,32308771,_NA_,12/09/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney injury,Rat,,32219613,_NA_,12/16/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Nonalcoholic steatohepatitis,Mice,,32145145,_NA_,12/19/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute lung injury,Mice,,32203170,_NA_,12/19/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute lung injury,Mice,,32161620,_NA_,12/22/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute pancreatitis,Mice,,32115146,_NA_,12/22/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute liver failure,Mice,,32094346,_NA_,12/30/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Ulcerative colitis,Human,,32015337,_NA_,12/30/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Ischemia reperfusion injury,Mice,,32029897,_NA_,12/30/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Acute kidney injury,Mice,,31996668,_NA_,12/30/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Kidney injury,Mice,,32051732,_NA_,12/30/2021,FerrDb team
Ferroptosis,Ferroptosis :+: Diabetes mellitus myocardial ischemia/reperfusion injury,Rat,,31809190,_NA_,01/07/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Acute myocardial infarction,Mice,,31740582,_NA_,01/07/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Nonalcoholic steatohepatitis,Mice,,31610178,_NA_,01/10/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Sarcopenia,Mice,,33390840,_NA_,01/19/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Cisplatin-induced hearing loss,Mice,,34302894,_NA_,01/26/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Age-related cataracts,"Human, mice",,33722625,_NA_,01/26/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Pulmonary fibrosis,Mice,,34175430,_NA_,02/10/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Diabetic renal tubular injury,Mice,,33679620,_NA_,02/12/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Amyotrophic lateral sclerosis,"Human, mice",,34145375,_NA_,02/21/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Intestinal barrier injury,Rat,,34257815,_NA_,02/23/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Endometrial hyperplasia,Mice,,33771639,_NA_,03/15/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Fatty liver,gibel carp,,33952209,Bioinformatics methods are used.,03/22/2022,FerrDb team
Ferroptosis,Ferroptosis :-: Prostate cancer,Human,,33483372,_NA_,03/30/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Diabetic atherosclerosis,Mice,,34508760,_NA_,03/30/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Autosomal dominant polycystic kidney disease,Mice,,34716241,_NA_,03/31/2022,FerrDb team
Ferroptosis,Ferroptosis :-: Obesity,Mice,,34441564,_NA_,04/25/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Psoriatic inflammation,"Human, mice",,34707088,_NA_,04/25/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Hyperoxic lung injury,Rat,,34703276,_NA_,04/25/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Experimental autoimmune hepatitis,Mice,,34966478,_NA_,05/05/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Alzheimer's disease,Mice,,33398092,_NA_,05/12/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Multiorgan dysfunction syndrome,Mice,,35210435,_NA_,09/03/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Acute liver injury,Mice,,35347117,_NA_,09/21/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Aortic dissection,"Human, mice",,35844806,_NA_,09/29/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Sepsis-associated encephalopathy,Mice,,35066511,_NA_,09/29/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Multiple sclerosis,Mice,,35676325,_NA_,09/29/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Deep vein thrombosis,Rat,,35717798,_NA_,09/29/2022,FerrDb team
Ferroptosis,Ferroptosis :-: Ocular defects,Zebrafish,,35563172,_NA_,09/29/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Intestinal injuries,Mice,,35091109,_NA_,09/29/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Hypoxic-ischemic brain damage,Rat,,35182697,_NA_,10/04/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Alzheimer's disease,Mice,,34998934,_NA_,10/04/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Brain injury,Carp,,34905050,_NA_,10/12/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Neurological sequelae in patients with cerebral malaria,Mice,,35725567,_NA_,10/18/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Traumatic brain injury,Mice,,35728282,_NA_,10/18/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Triptolide-induced cardiotoxicity,Human,,35757509,_NA_,10/21/2022,FerrDb team
Ferroptosis,Ferroptosis :-: Colorectal cancer,Human,,35993016,_NA_,10/21/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Acute respiratory distress syndrome,Mice,,35222419,_NA_,11/20/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Acute-on-chronic liver failure,Mice,,35480867,_NA_,11/21/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Rhabdomyolysis,Mice,,35243801,_NA_,11/25/2022,FerrDb team
Ferroptosis,Ferroptosis :+: White matter injury,Mice,,35318305,_NA_,11/25/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Experimental autoimmune prostatitis,Rat,,35755168,_NA_,11/30/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Renal interstitial inflammatio,Mice,,35224007,_NA_,12/11/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Kidney fibrosis,Mice,,35224007,_NA_,12/11/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Diabetic cardiomyopathy,Mice,,35256941,_NA_,12/14/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Osteoporosis,Mice,,35638167,_NA_,12/14/2022,FerrDb team
Ferroptosis,Ferroptosis :+: Diabetes-associated cognitive dysfunction,Mice,,35350885,_NA_,12/14/2022,FerrDb team
